questionPackageUniqueID,questiionUniqueID,ReportLabel,AnswerUniqueID,AnswerSlectionValue
UMASH_ANIMAL_EXPOSURES,PERSON_INTERVIEWED_FOR_UMASH,UMASH_INT,PERSON_INTERVIEWED_FOR_UMASH_YES,YES
UMASH_ANIMAL_EXPOSURES,PERSON_INTERVIEWED_FOR_UMASH,UMASH_INT,PERSON_INTERVIEWED_FOR_UMASH_NO,NO
UMASH_ANIMAL_EXPOSURES,UMASH_TIER,UMASH_TIER,UMASH_TIER_1,1
UMASH_ANIMAL_EXPOSURES,UMASH_TIER,UMASH_TIER,UMASH_TIER_2,2
UMASH_ANIMAL_EXPOSURES,UMASH_TIER,UMASH_TIER,UMASH_TIER_3,3
UMASH_ANIMAL_EXPOSURES,UMASH_LIVE_WORK_FARM,UMASH_LIVE_WORK_FARM,UMASH_LIVE_WORK_FARM_1,1
UMASH_ANIMAL_EXPOSURES,UMASH_LIVE_WORK_FARM,UMASH_LIVE_WORK_FARM,UMASH_LIVE_WORK_FARM_2,2
UMASH_ANIMAL_EXPOSURES,UMASH_FARM_VISIT,UMASH_FARM_VISIT,UMASH_FARM_VISIT_1,1
UMASH_ANIMAL_EXPOSURES,UMASH_FARM_VISIT,UMASH_FARM_VISIT,UMASH_FARM_VISIT_2,2
UMASH_ANIMAL_EXPOSURES,UMASH_ZOO_FAIR,UMASH_ZOO,UMASH_ZOO_FAIR_1,1
UMASH_ANIMAL_EXPOSURES,UMASH_ZOO_FAIR,UMASH_ZOO,UMASH_ZOO_FAIR_2,2
UMASH_ANIMAL_EXPOSURES,RAW_MILK,RAW_MILK,RAW_MILK_1,1
UMASH_ANIMAL_EXPOSURES,RAW_MILK,RAW_MILK,RAW_MILK_2,2
ADMINISTRATIVE,DISEASE,,DISEASE_AFM,AFM
ADMINISTRATIVE,DISEASE,,DISEASE_AMEB,AMEB
ADMINISTRATIVE,DISEASE,,DISEASE_ANTH,ANTH
ADMINISTRATIVE,DISEASE,,DISEASE_ATB,ATB
ADMINISTRATIVE,DISEASE,,DISEASE_BAB,BAB
ADMINISTRATIVE,DISEASE,,DISEASE_BCC,BCC
ADMINISTRATIVE,DISEASE,,DISEASE_BLAS,BLAS
ADMINISTRATIVE,DISEASE,,DISEASE_BLASTO,BLASTO
ADMINISTRATIVE,DISEASE,,DISEASE_BOT,BOT
ADMINISTRATIVE,DISEASE,,DISEASE_BRU,BRU
ADMINISTRATIVE,DISEASE,,DISEASE_CAMP,CAMP
ADMINISTRATIVE,DISEASE,,DISEASE_CARBA,CARBA
ADMINISTRATIVE,DISEASE,,DISEASE_CAT,CAT
ADMINISTRATIVE,DISEASE,,DISEASE_OCAT,OCAT
ADMINISTRATIVE,DISEASE,,DISEASE_CEV,CEV
ADMINISTRATIVE,DISEASE,,DISEASE_CHA,CHA
ADMINISTRATIVE,DISEASE,,DISEASE_CHIK,CHIK
ADMINISTRATIVE,DISEASE,,DISEASE_CHOL,CHOL
ADMINISTRATIVE,DISEASE,,DISEASE_CLOST,CLOST
ADMINISTRATIVE,DISEASE,,DISEASE_CND,CND
ADMINISTRATIVE,DISEASE,,DISEASE_COCC,COCC
ADMINISTRATIVE,DISEASE,,DISEASE_CPOX,CPOX
ADMINISTRATIVE,DISEASE,,DISEASE_CRIMEAN,CRIMEAN
ADMINISTRATIVE,DISEASE,,DISEASE_CRPA,CRPA
ADMINISTRATIVE,DISEASE,,DISEASE_CRPTCS,CRPTCS
ADMINISTRATIVE,DISEASE,,DISEASE_CRYPT,CRYPT
ADMINISTRATIVE,DISEASE,,DISEASE_CSV,CSV
ADMINISTRATIVE,DISEASE,,DISEASE_CTFV,CTFV
ADMINISTRATIVE,DISEASE,,DISEASE_CVV,CVV
ADMINISTRATIVE,DISEASE,,DISEASE_CYCLO,CYCLO
ADMINISTRATIVE,DISEASE,,DISEASE_DAEC,DAEC
ADMINISTRATIVE,DISEASE,,DISEASE_DENG,DENG
ADMINISTRATIVE,DISEASE,,DISEASE_DIEN,DIEN
ADMINISTRATIVE,DISEASE,,DISEASE_DIP,DIP
ADMINISTRATIVE,DISEASE,,DISEASE_DIPHY,DIPHY
ADMINISTRATIVE,DISEASE,,DISEASE_EAEC,EAEC
ADMINISTRATIVE,DISEASE,,DISEASE_EALBERTII,EALBERTII
ADMINISTRATIVE,DISEASE,,DISEASE_EAU,EAU
ADMINISTRATIVE,DISEASE,,DISEASE_EBOLA,EBOLA
